gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Auto-Cog,NONE,2020,729.5162159999968,0.0,0.0
Auto-Cog,NONE,2025,729.5162159999971,0.0,0.0
Auto-Cog,NONE,2030,729.5162159999968,0.0,0.0
Auto-Cog,NONE,2035,729.5162159999968,0.0,0.0
Auto-Cog,NONE,2040,729.5162159999969,0.0,0.0
Auto-Cog,NONE,2045,729.5162159999971,0.0,0.0
Eolica,Wind,2020,9903.37092247174,0.0,0.0
Eolica,Wind,2025,13370.743675411688,0.0,0.0
Eolica,Wind,2030,19705.096040386023,0.0,0.0
Eolica,Wind,2035,22216.80892264785,0.0,0.0
Eolica,Wind,2040,27546.47613471758,0.0,0.0
Eolica,Wind,2045,28409.054595713387,0.0,0.0
Hidro,Water,2020,45968.199338477156,0.0,0.0
Hidro,Water,2025,47870.16093847741,0.0,0.0
Hidro,Water,2030,48250.55325847689,0.0,0.0
Hidro,Water,2035,48630.945578477214,0.0,0.0
Hidro,Water,2040,48848.312618477066,0.0,0.0
Hidro,Water,2045,49065.67965847738,0.0,0.0
Menores,RunofRiver,2020,3917.5203282774096,0.0,0.0
Menores,RunofRiver,2025,3917.5203282774087,0.0,0.0
Menores,RunofRiver,2030,3917.520328277409,0.0,0.0
Menores,RunofRiver,2035,3917.5203282774114,0.0,0.0
Menores,RunofRiver,2040,3917.520328277408,0.0,0.0
Menores,RunofRiver,2045,3917.5203282774096,0.0,0.0
Thermal,barranquilla_fo6,2020,0.0,0.0,0.0
Thermal,barranquilla_fo6,2025,0.0,0.0,0.0
Thermal,barranquilla_fo6,2030,0.0,0.0,0.0
Thermal,barranquilla_fo6,2035,0.0,0.0,0.0
Thermal,barranquilla_fo6,2040,0.0,0.0,0.0
Thermal,barranquilla_fo6,2045,0.0,0.0,0.0
Thermal,barranquilla_gas,2020,1826.545816051588,49371533.407874286,0.0
