GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
AGUAFRESCA,1987,7.29
ALEJANDRIA,1988,15.0
ALTOANCHICAY,1989,355.0
AMAIME,1990,19.17
AMOYA,1991,80.0
AUT_ARGOCGNA,1992,9.9
AUT_ARGOYUMB,1993,9.9
AUT_REFICAR,1994,9.9
AUT_UNIBOL,1995,1.1
AUT_YAGUARIT,1996,1.6
BAJOANCHICAY,1997,74.0
BARRANQUILLA3,1998,64.0
BARRANQUILLA3_FO6,1999,55.0
BARRANQUILLA4,2000,63.0
BARRANQUILLA4_FO6,2001,55.0
BARROSO,2002,19.9
BETANIA,2003,540.0
BIOG-TEQUENDAMA,2005,2.25
BIOG_DJUANA,2004,1.7
CALDERAS,2007,19.9
CALIMA,2008,132.0
CANA,2010,24.62
CANDELARIA1,2011,157.0
CANDELARIA1_FO2,2012,154.0
CANDELARIA2,2013,157.0
CANDELARIA2_FO2,2014,155.0
CARTAGENA1,2015,61.0
CARTAGENA1_FO6,2016,60.9
CARTAGENA2,2017,60.0
CARTAGENA2_FO6,2018,60.0
CARTAGENA3,1987,66.0
CARTAGENA3_FO6,1988,65.89
CARUQUIA,1989,9.5
CC_FLORES4,1990,450.0
CC_FLORES4_FO2,1991,450.0
CHIVOR,1994,1000.0
CIMARRON,1996,19.9
COG_COLTEJER,1997,9.4
COG_INCAUCA,1998,10.0
COG_MANUELIT,2001,3.5
COG_MAYAGUEZ,2002,19.9
COG_PROENCA,2003,19.9
COG_PROVIDEN,2004,14.0
COG_RISARALD,2005,15.0
CUCUANA,2007,60.0
C_LLERAS_R,2006,78.0
DARIO_VALENC,2008,150.0
ELMORRO1,2014,19.9
ELMORRO2,2015,19.9
ELPOPAL,2016,19.9
EL_QUIMBO,2013,396.0
EMCALI,2017,229.0
EMCALI_FO2,2018,213.0
ESMERALDA,1987,30.0
EXP_HID_1,1989,351.77
FLORES1,1990,160.0
FLORES1_FO2,1991,153.0
GUADALUPE_3,1992,270.0
