gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr
Auto-Cog,NONE,2020,547.1371619999989,0.0,0.0
Auto-Cog,NONE,2025,364.7581079999994,0.0,0.0
Auto-Cog,NONE,2030,0.0,0.0,0.0
Auto-Cog,NONE,2035,184.08842780377393,0.0,0.0
Auto-Cog,NONE,2040,21.125938852304415,0.0,0.0
Auto-Cog,NONE,2045,346.93124065128603,0.0,0.0
Eolica,Wind,2020,9903.37092247174,0.0,0.0
Eolica,Wind,2025,13370.743675411688,0.0,0.0
Eolica,Wind,2030,19705.096040386023,0.0,0.0
Eolica,Wind,2035,22216.80892264785,0.0,0.0
Eolica,Wind,2040,27546.47613471758,0.0,0.0
Eolica,Wind,2045,28409.054595713387,0.0,0.0
Hidro,Water,2020,57783.91925515667,0.0,0.0
Hidro,Water,2025,59427.86654870453,0.0,0.0
Hidro,Water,2030,59945.66752687141,0.0,0.0
Hidro,Water,2035,60178.80870802461,0.0,0.0
Hidro,Water,2040,60424.87925492984,0.0,0.0
Hidro,Water,2045,60901.56246072319,0.0,0.0
Menores,RunofRiver,2020,3917.5203282774096,0.0,0.0
Menores,RunofRiver,2025,3917.5203282774087,0.0,0.0
Menores,RunofRiver,2030,3917.520328277409,0.0,0.0
Menores,RunofRiver,2035,3915.4795447134334,0.0,0.0
Menores,RunofRiver,2040,3917.520328277408,0.0,0.0
Menores,RunofRiver,2045,3917.5203282774096,0.0,0.0
Thermal,barranquilla_fo6,2020,0.0,0.0,0.0
Thermal,barranquilla_fo6,2025,0.0,0.0,0.0
Thermal,barranquilla_fo6,2030,0.0,0.0,0.0
Thermal,barranquilla_fo6,2035,0.0,0.0,0.0
Thermal,barranquilla_fo6,2040,0.0,0.0,0.0
Thermal,barranquilla_fo6,2045,0.0,0.0,0.0
Thermal,barranquilla_gas,2020,16.023149999999884,433105.744499997,0.0
Thermal,barranquilla_gas,2025,0.0,0.0,0.0
Thermal,barranquilla_gas,2030,0.0,0.0,0.0
Thermal,barranquilla_gas,2035,0.0,0.0,0.0
Thermal,barranquilla_gas,2040,0.0,0.0,0.0
Thermal,barranquilla_gas,2045,0.0,0.0,0.0
Thermal,candelaria_fo2,2020,0.0,0.0,0.0
Thermal,candelaria_fo2,2025,0.0,0.0,0.0
Thermal,candelaria_fo2,2030,0.0,0.0,0.0
Thermal,candelaria_fo2,2035,0.0,0.0,0.0
Thermal,candelaria_fo2,2040,0.0,0.0,0.0
Thermal,candelaria_fo2,2045,0.0,0.0,0.0
Thermal,cartagena_fo6,2020,0.0,0.0,0.0
Thermal,cartagena_fo6,2025,0.0,0.0,0.0
Thermal,cartagena_fo6,2030,0.0,0.0,0.0
Thermal,cartagena_fo6,2035,0.0,0.0,0.0
Thermal,cartagena_fo6,2040,0.0,0.0,0.0
Thermal,cartagena_fo6,2045,0.0,0.0,0.0
Thermal,cartagena_gas,2020,0.0,0.0,0.0
Thermal,cartagena_gas,2025,0.0,0.0,0.0
Thermal,cartagena_gas,2030,0.0,0.0,0.0
Thermal,cartagena_gas,2035,0.0,0.0,0.0
Thermal,cartagena_gas,2040,0.0,0.0,0.0
Thermal,cartagena_gas,2045,0.0,0.0,0.0
Thermal,flores_fo2,2020,0.0,0.0,0.0
Thermal,flores_fo2,2025,0.0,0.0,0.0
Thermal,flores_fo2,2030,0.0,0.0,0.0
Thermal,flores_fo2,2035,0.0,0.0,0.0
Thermal,flores_fo2,2040,0.0,0.0,0.0
Thermal,flores_fo2,2045,0.0,0.0,0.0
Thermal,flores_gas,2020,0.0,0.0,0.0
Thermal,flores_gas,2025,0.0,0.0,0.0
Thermal,flores_gas,2030,0.0,0.0,0.0
Thermal,flores_gas,2035,0.0,0.0,0.0
Thermal,flores_gas,2040,0.0,0.0,0.0
Thermal,flores_gas,2045,0.0,0.0,0.0
Thermal,gecelca_car,2020,0.0,0.0,0.0
Thermal,gecelca_car,2025,0.0,0.0,0.0
Thermal,gecelca_car,2030,0.0,0.0,0.0
Thermal,gecelca_car,2035,0.0,0.0,0.0
Thermal,gecelca_car,2040,0.0,0.0,0.0
